scenario,detector_id,threshold_sigma,threshold_counts,time_min,observed_counts,excess_counts,is_during_synthetic_event
background_only,D001,2,7361.830541885254,61,7416,54.169458114745794,False
background_only,D001,2,7361.830541885254,64,7369,7.169458114745794,False
background_only,D001,2,7361.830541885254,88,7367,5.169458114745794,False
background_only,D001,2,7361.830541885254,106,7362,0.16945811474579386,False
signal_plus_background,D001,2,7361.830541885254,39,7384,22.169458114745794,False
signal_plus_background,D001,2,7361.830541885254,45,7548,186.1694581147458,True
signal_plus_background,D001,3,7446.637479494548,45,7548,101.36252050545227,True
signal_plus_background,D001,4,7531.444417103842,45,7548,16.55558289615783,True
signal_plus_background,D001,2,7361.830541885254,46,7713,351.1694581147458,True
signal_plus_background,D001,3,7446.637479494548,46,7713,266.36252050545227,True
signal_plus_background,D001,4,7531.444417103842,46,7713,181.55558289615783,True
signal_plus_background,D001,5,7616.251354713136,46,7713,96.7486452868643,True
signal_plus_background,D001,2,7361.830541885254,47,7430,68.1694581147458,True
signal_plus_background,D001,2,7361.830541885254,48,7590,228.1694581147458,True
signal_plus_background,D001,3,7446.637479494548,48,7590,143.36252050545227,True
signal_plus_background,D001,4,7531.444417103842,48,7590,58.55558289615783,True
signal_plus_background,D001,2,7361.830541885254,49,7624,262.1694581147458,True
signal_plus_background,D001,3,7446.637479494548,49,7624,177.36252050545227,True
signal_plus_background,D001,4,7531.444417103842,49,7624,92.55558289615783,True
signal_plus_background,D001,5,7616.251354713136,49,7624,7.748645286864303,True
signal_plus_background,D001,2,7361.830541885254,50,7508,146.1694581147458,True
signal_plus_background,D001,3,7446.637479494548,50,7508,61.36252050545227,True
signal_plus_background,D001,2,7361.830541885254,51,7620,258.1694581147458,True
signal_plus_background,D001,3,7446.637479494548,51,7620,173.36252050545227,True
signal_plus_background,D001,4,7531.444417103842,51,7620,88.55558289615783,True
signal_plus_background,D001,5,7616.251354713136,51,7620,3.7486452868643028,True
signal_plus_background,D001,2,7361.830541885254,52,7516,154.1694581147458,True
signal_plus_background,D001,3,7446.637479494548,52,7516,69.36252050545227,True
signal_plus_background,D001,2,7361.830541885254,53,7451,89.1694581147458,True
signal_plus_background,D001,3,7446.637479494548,53,7451,4.362520505452267,True
signal_plus_background,D001,2,7361.830541885254,54,7720,358.1694581147458,True
signal_plus_background,D001,3,7446.637479494548,54,7720,273.36252050545227,True
signal_plus_background,D001,4,7531.444417103842,54,7720,188.55558289615783,True
signal_plus_background,D001,5,7616.251354713136,54,7720,103.7486452868643,True
signal_plus_background,D001,2,7361.830541885254,85,7709,347.1694581147458,True
signal_plus_background,D001,3,7446.637479494548,85,7709,262.36252050545227,True
signal_plus_background,D001,4,7531.444417103842,85,7709,177.55558289615783,True
signal_plus_background,D001,5,7616.251354713136,85,7709,92.7486452868643,True
signal_plus_background,D001,2,7361.830541885254,86,7928,566.1694581147458,True
signal_plus_background,D001,3,7446.637479494548,86,7928,481.36252050545227,True
signal_plus_background,D001,4,7531.444417103842,86,7928,396.55558289615783,True
signal_plus_background,D001,5,7616.251354713136,86,7928,311.7486452868643,True
signal_plus_background,D001,2,7361.830541885254,87,7868,506.1694581147458,True
signal_plus_background,D001,3,7446.637479494548,87,7868,421.36252050545227,True
signal_plus_background,D001,4,7531.444417103842,87,7868,336.55558289615783,True
signal_plus_background,D001,5,7616.251354713136,87,7868,251.7486452868643,True
signal_plus_background,D001,2,7361.830541885254,88,8042,680.1694581147458,True
signal_plus_background,D001,3,7446.637479494548,88,8042,595.3625205054523,True
signal_plus_background,D001,4,7531.444417103842,88,8042,510.55558289615783,True
signal_plus_background,D001,5,7616.251354713136,88,8042,425.7486452868643,True
signal_plus_background,D001,2,7361.830541885254,89,7870,508.1694581147458,True
signal_plus_background,D001,3,7446.637479494548,89,7870,423.36252050545227,True
signal_plus_background,D001,4,7531.444417103842,89,7870,338.55558289615783,True
signal_plus_background,D001,5,7616.251354713136,89,7870,253.7486452868643,True
