detector_id,threshold_sigma,n_trials,event_bin_count,threshold_counts,mean_event_crossing_fraction,median_event_crossing_fraction,p05_event_crossing_fraction,p95_event_crossing_fraction,probability_at_least_one_event_crossing,mean_first_crossing_time_min,median_first_crossing_time_min
D001,2,10000,15,7361.830541885254,0.9877333333333334,1.0,0.9333333333333333,1.0,1.0,45.0194,45.0
D001,3,10000,15,7446.637479494548,0.9090466666666667,0.9333333333333333,0.8,1.0,1.0,45.1622,45.0
D001,4,10000,15,7531.444417103842,0.6983,0.6666666666666666,0.5333333333333333,0.8666666666666667,1.0,45.8134,45.0
D001,5,10000,15,7616.251354713136,0.4619666666666666,0.4666666666666667,0.3333333333333333,0.6,1.0,52.118,48.0
